,제목,링크,시간,코인 이름
35,[코인리더스] [코인 빅데이터] 머지 업데이트 이후 변화...이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,https://www.coinreaders.com/47064,2022. 9. 29.,이더리움 클래식
36,[코인리더스] [코인 빅데이터] 하드포크 암호화폐...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,https://www.coinreaders.com/57785,2023. 1. 6.,이더리움 클래식
37,비트코인-이더리움-이더리움클래식 폭락 벗어나 회복세...칠리즈-폴리곤도 반등 모색,https://www.socialvalue.kr/news/view/1065546007218108,2022. 11. 9.,이더리움 클래식
38,"이더리움 클래식 전일비 25% 급등, 기술적 분석상 58 달러도 바라볼 수 있다",https://www.blockmedia.co.kr/archives/254134,2022. 9. 6.,이더리움 클래식
39,"비트코인 2700만원, 이더리움 197만원...분위기는? < 블록체인 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=605016,1개월 전,이더리움 클래식
40,"이더리움클래식 해시레이트, '머지' 후 80% 급등하며 최고치 기록",https://www.blockchaintoday.co.kr/news/articleView.html?idxno=24359,2022. 9. 16.,이더리움 클래식
41,[코인리더스] [코인 빅데이터] 하드포크 암호화폐...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,https://m.coinreaders.com/48107,2022. 10. 11.,이더리움 클래식
42,[코인리더스] [코인 빅데이터] 하드포크 암호화폐...비트코인에스브이(BSV) vs 이더리움클래식(ETC) 트렌드,https://www.coinreaders.com/55453,2022. 12. 13.,이더리움 클래식
43,"이더리움클래식(ETC), 머지 업그레이드에 시세 상승?",http://www.ggilbo.com/news/articleView.html?idxno=933979,2022. 9. 15.,이더리움 클래식
44,머지 앞두고 급등한 '이더리움클래식'...채굴자 대안될까,https://www.tokenpost.kr/article-104441,2022. 9. 6.,이더리움 클래식
45,"[코인리더스] 이더리움클래식(ETC), 머지 호재에 30% 가깝게 폭등...트론·아발란체 시총 추월하나",https://www.coinreaders.com/44494,2022. 9. 6.,이더리움 클래식
46,[코인리더스] [코인 빅데이터] 대표 하드포크 암호화폐...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,https://www.coinreaders.com/49992,2022. 10. 28.,이더리움 클래식
47,"이더리움 클래식, 6만원 가나 < 블록체인 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=585757,2022. 8. 14.,이더리움 클래식
48,열흘만에 `두 배` 폭등...이더리움 클래식에 무슨 일이,https://www.mk.co.kr/economy/view/2022/670865,2022. 7. 29.,이더리움 클래식
49,"이더리움 클래식, 하루만에 끝난 랠리",https://www.econovill.com/news/articleView.html?idxno=588890,2022. 9. 7.,이더리움 클래식
50,이더리움클래식 해시레이트 사상 최고치...'머지' 앞두고 채굴자 유입,https://www.tokenpost.kr/article-103081,2022. 8. 22.,이더리움 클래식
51,[코인리더스] [코인 빅데이터] 머지 업그레이드 D-0...이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,https://m.coinreaders.com/45474,2022. 9. 15.,이더리움 클래식
52,머지의 이더리움...이더리움 클래식 기대 커진다 < 블록체인 < IT/스타트업 < 기사본문,https://www.econovill.com/news/articleView.html?idxno=589182,2022. 9. 11.,이더리움 클래식
53,"[코인리더스] 이더리움클래식, ETH 머지 임박에 해시레이트 사상 최고치 기록...ETC 6% 랠리",https://www.coinreaders.com/44456,2022. 9. 5.,이더리움 클래식
54,"“순식간에 400만원 벌었다” 갑자기 '쌈짓돈' 번 사람 속출, 무슨 일이",http://news.heraldcorp.com/view.php?ud=20220908000568,2022. 9. 8.,이더리움 클래식
55,[코인리더스] [코인 빅데이터] 머지 이후...이더리움클래식(ETC) vs 이더리움POW(ETHW) 트렌드,https://m.coinreaders.com/48953,2022. 10. 19.,이더리움 클래식
56,"[코인리더스] 도겔리언스(DOGET), 이더리움클래식·코스모스와 비교해 차별된 메타버스 접근 전략은?",https://www.coinreaders.com/54122,2022. 12. 1.,이더리움 클래식
57,[코인리더스] [코인 빅데이터] 머지發 랠리 재개?...이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,https://www.coinreaders.com/43868,2022. 8. 30.,이더리움 클래식
58,이더리움 머지 충격파...시나리오는? < 블록체인 < IT/스타트업 < 기사본문,https://www.econovill.com/news/articleView.html?idxno=589198,2022. 9. 11.,이더리움 클래식
59,"[이더 머지] 업그레이드 성공 직후, 이더리움 클래식·레이븐 등 PoW 코인 가격 급등",https://www.blockmedia.co.kr/archives/256434,2022. 9. 15.,이더리움 클래식
60,"이더리움 클래식, 다시 뛴다 < 블록체인 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=589151,2022. 9. 9.,이더리움 클래식
61,"가상자산 시장, 이더리움 머지 하드포크 앞두고 격동",https://www.digitaltoday.co.kr/news/articleView.html?idxno=460516,2022. 9. 6.,이더리움 클래식
62,"[Bit코인] 이더리움클래식, 이더리움 병합 수혜 급등…“빅플레이어들, ETH 상승 베팅”",https://www.etoday.co.kr/news/view/2158719,2022. 7. 29.,이더리움 클래식
63,"이더리움 클래식, 왜 뛸까? < IT/스타트업 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=582988,2022. 7. 25.,이더리움 클래식
64,"이더리움 클래식 랠리, 멈추지 않는다 < 블록체인 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=585701,2022. 8. 12.,이더리움 클래식
65,"이더리움 클래식(ETC) 22% 상승, 급등세 지속",https://www.blockmedia.co.kr/archives/243595,2022. 7. 29.,이더리움 클래식
66,"5만원 회복, 다시 달리는 이더리움 클래식...과연?",https://www.econovill.com/news/articleView.html?idxno=587260,2022. 8. 25.,이더리움 클래식
67,"이더리움 클래식 협동조합 ""이더리움 작업증명 하드포크, 성공 못할 것""",https://www.tokenpost.kr/article-101841,2022. 8. 9.,이더리움 클래식
68,"[코인리더스] 이더리움 클래식 해시레이트 6월 이후 83% 상승 vs ETH는 11% 하락...""ETC, 채굴자들에게 훌륭한 옵션""",https://www.coinreaders.com/44028,2022. 8. 31.,이더리움 클래식
69,'머지 업그레이드' 이후 작업증명 이더리움클래식도 내림세,https://cm.asiae.co.kr/article/stock-all/2022092708543171753,2022. 9. 27.,이더리움 클래식
70,이더리움 클래식(ETC) 급등 불구 대폭 조정 가능성 – 코인텔레그래프,https://www.blockmedia.co.kr/archives/241954,2022. 7. 27.,이더리움 클래식
71,이더리움 '머지 업데이트'에 알트코인 훈풍,https://www.m-i.kr/news/articleView.html?idxno=943445,2022. 8. 18.,이더리움 클래식
72,이더리움 클래식..너무 뛰는걸? < IT/스타트업 < IT/스타트업 < 기사본문,https://www.econovill.com/news/articleView.html?idxno=583557,2022. 7. 27.,이더리움 클래식
73,"이더리움, 머지 업그레이드 기대감 추가 상승 가능성",https://m.ajunews.com/view/20220910120431329,2022. 9. 10.,이더리움 클래식
74,"[코인리더스] 이더리움클래식 급등에도 카르다노 공동 창업자 ""ETC, 이미 죽은 프로젝트""",https://www.coinreaders.com/44571,2022. 9. 6.,이더리움 클래식
75,무명의 코인 반등세 주춤...디카르고 36% 급등...비트코인-이더리움-클래식 반등,https://www.socialvalue.kr/news/view/1065544135893955,2022. 11. 23.,이더리움 클래식
76,"JP모건 ""이더리움 머지 수혜자는 이더리움 클래식 채굴자""",https://www.tokenpost.kr/article-102377,2022. 8. 14.,이더리움 클래식
77,[코인리더스] [코인 빅데이터] 머지 업데이트 임박...이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,http://coinreaders.com/42674,2022. 8. 17.,이더리움 클래식
78,이더리움 클래식 확 뛰었다 < 블록체인 < IT/스타트업 < 기사본문,https://www.econovill.com/news/articleView.html?idxno=593184,2022. 10. 23.,이더리움 클래식
79,"[코인리더스] 이더리움클래식-ETHW, 머지 후 주도권 놓고 티격태격",https://www.coinreaders.com/42912,2022. 8. 19.,이더리움 클래식
80,"""이더리움 POS전환과 이더리움 클래식(ETC) 전폭 지원, 이더 하드포크 지원 안해"" --배리 실버트",https://www.blockmedia.co.kr/archives/247331,2022. 8. 7.,이더리움 클래식
81,리플-이더리움클래식 급반등...비트코인 2800만원대-이더리움 200만원대 거래,https://www.socialvalue.kr/news/view/1065553765542778,2022. 9. 18.,이더리움 클래식
82,나스닥이 기침하자 비트코인-이더리움-클래식-페이코인 감기몸살...메타디움은 폭등,https://www.socialvalue.kr/news/view/1065546199297643,2022. 8. 31.,이더리움 클래식
83,[코인리더스] 머지 이후 이더리움클래식(ETC) 급락세...네트워크 해시레이트는 지속 상승 추세,https://m.coinreaders.com/45595,2022. 9. 16.,이더리움 클래식
84,"[트윗시황] ﻿""이더리움 더머지로 이더리움클래식 해시레이트 급증""",https://www.coindeskkorea.com/news/articleView.html?idxno=81363,2022. 9. 16.,이더리움 클래식
85,"오후 암호화폐 시세, 이더리움클래식↑…다른 코인도 상승세",https://m.ekn.kr/view.php?key=20220727010004765,2022. 7. 27.,이더리움 클래식
86,비트코인골드-이더리움클래식 갑작스런 돌풍...비트코인-이더리움은 제자리,https://www.socialvalue.kr/news/view/1065561178901577,2022. 10. 23.,이더리움 클래식
87,무섭게 뛰는 이더리움 클래식...왜? < IT/스타트업 < IT/스타트업 < 기사본문,https://www.econovill.com/news/articleView.html?idxno=583904,2022. 7. 30.,이더리움 클래식
88,무명의 아이큐-카바-폴리매쓰 진격...비트코인 소폭 오르고 이더리움-클래식 뒷걸음,https://www.socialvalue.kr/news/view/1065549643769975,2022. 11. 21.,이더리움 클래식
